tempo,referencia,velocidade,pwm,erro
3.15,1,-0.154716,23.0943,1.15472
3.16,1,-0.251756,25.0351,1.25176
3.17,1,-0.369469,27.3894,1.36947
3.18,1,-0.472211,29.4442,1.47221
3.19,1,-0.560179,31.2036,1.56018
3.2,1,-0.64745,32.949,1.64745
3.21,1,-0.754271,35.0854,1.75427
3.22,1,-0.849211,36.9842,1.84921
3.23,1,-0.928757,38.5751,1.92876
3.24,1,-1.00545,40.1089,2.00545
3.25,1,-1.09885,41.9769,2.09885
3.26,1,-1.18651,43.7301,2.18651
3.27,1,-1.2574,45.148,2.2574
3.28,1,-1.32901,46.5801,2.32901
3.29,1,-1.39515,47.903,2.39515
3.3,1,-1.45118,49.0236,2.45118
3.31,1,-1.50441,50.0881,2.50441
3.32,1,-1.54941,50.9882,2.54941
3.33,1,-1.58721,51.7443,2.58721
3.34,1,-1.62744,52.5487,2.62744
3.35,1,-1.63356,52.6712,2.63356
3.36,1,-1.63917,52.7834,2.63917
3.37,1,-1.64192,52.8384,2.64192
3.38,1,-1.64099,52.8199,2.64099
3.39,1,-1.61498,52.2997,2.61498
3.4,1,-1.59537,51.9075,2.59537
3.41,1,-1.54955,50.9909,2.54955
3.42,1,-1.5085,50.1701,2.5085
3.43,1,-1.43909,48.7817,2.43909
3.44,1,-1.37391,47.4782,2.37391
3.45,1,-1.28898,45.7795,2.28898
3.46,1,-1.21763,44.3527,2.21763
3.47,1,-1.12025,42.405,2.12025
3.48,1,-1.0318,40.636,2.0318
3.49,1,-0.926421,38.5284,1.92642
3.5,1,-0.831579,36.6316,1.83158
3.51,1,-0.720643,34.4129,1.72064
3.52,1,-0.623301,32.466,1.6233
3.53,1,-0.501915,30.0383,1.50192
3.54,1,-0.37119,27.4238,1.37119
3.55,1,-0.21806,24.3612,1.21806
3.56,1,-0.0861431,21.7229,1.08614
3.57,1,0.0605601,18.7888,0.93944
3.58,1,0.225971,15.4806,0.774029
3.59,1,0.394118,12.1176,0.605882
3.6,1,0.581729,8.36543,0.418271
3.61,1,0.777556,4.44889,0.222444
3.62,1,0.974978,0.500441,0.025022
3.63,1,1.15926,-3.18516,-0.159258
3.64,1,1.34479,-6.89575,-0.344788
3.65,1,1.54674,-10.9348,-0.546742
3.66,1,1.75008,-15.0016,-0.750079
3.67,1,1.96256,-19.2512,-0.96256
3.68,1,2.18117,-23.6234,-1.18117
3.69,1,2.38022,-27.6044,-1.38022
3.7,1,2.59104,-31.8209,-1.59104
3.71,1,2.79956,-35.9912,-1.79956
3.72,1,3.0225,-40.4501,-2.0225
3.73,1,3.22215,-44.4431,-2.22215
3.74,1,3.43002,-48.6003,-2.43002
3.75,1,3.64517,-52.9034,-2.64517
3.76,1,3.83621,-56.7242,-2.83621
3.77,1,4.03642,-60.7284,-3.03642
3.78,1,4.21711,-64.3422,-3.21711
3.79,1,4.40571,-68.1142,-3.40571
3.8,1,4.57915,-71.583,-3.57915
3.81,1,4.76353,-75.2705,-3.76353
3.82,1,4.93036,-78.6072,-3.93036
3.83,1,5.07171,-81.4343,-4.07171
3.84,1,5.22831,-84.5662,-4.22831
3.85,1,5.37385,-87.4769,-4.37385
3.86,1,5.49853,-89.9706,-4.49853
3.87,1,5.61164,-92.2328,-4.61164
3.88,1,5.71824,-94.3649,-4.71824
